                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8771,                 3.2846,                 2.2853,                 1.9025,                0.51345,                0.27224,                0.28004,                 0.1203,                0.54158,                0.25399,                0.26398,                0.08378,                 2.2671,                 4.1021,                 2.6935,                 2.6102,             0.00066358,             0.00066358,             0.00066358
                      2,                 1.8881,                 3.1604,                 1.9589,                 1.9579,                0.54237,                0.35776,                0.39973,                0.17945,                0.53567,                0.33511,                0.36458,                0.14168,                 2.0607,                 3.3868,                 1.9843,                 2.5206,              0.0012425,              0.0012425,              0.0012425
                      3,                 1.8427,                 3.0938,                 1.9625,                  1.931,                0.70368,                0.41223,                0.44117,                0.20294,                 0.6883,                0.39096,                0.40532,                0.15067,                 1.9125,                 3.2858,                 2.5695,                 2.4348,              0.0017333,              0.0017333,              0.0017333
                      4,                 1.7565,                 2.9793,                 1.7456,                 1.8431,                0.59692,                0.38298,                0.44132,                0.19726,                0.58229,                0.36303,                0.41665,                0.16162,                 1.9521,                 3.4119,                 2.1929,                 2.5823,               0.001604,               0.001604,               0.001604
                      5,                 1.7417,                 2.8859,                 1.6786,                 1.8376,                0.69113,                0.55344,                0.62554,                0.32494,                0.71413,                0.54654,                0.60716,                0.27572,                 1.6714,                 2.6537,                 1.4107,                 2.2003,               0.001472,               0.001472,               0.001472
                      6,                 1.6691,                 2.9581,                 1.5033,                 1.9201,                0.71269,                0.52793,                0.60403,                0.31754,                0.72086,                0.52884,                 0.5917,                0.27577,                 1.7106,                 3.2631,                  1.476,                 2.2298,                0.00134,                0.00134,                0.00134
                      7,                 1.6145,                 2.8707,                 1.4328,                 1.8745,                0.80362,                 0.6117,                0.70255,                0.36016,                 0.7945,                0.59973,                0.66216,                0.29393,                 1.6489,                  2.778,                 1.2524,                 2.1393,               0.001208,               0.001208,               0.001208
                      8,                 1.6149,                 2.8197,                  1.401,                 1.8847,                0.85983,                0.68484,                0.77787,                0.42835,                0.85295,                0.67109,                0.73388,                 0.3538,                 1.5265,                 2.4406,                 1.0853,                 2.0532,               0.001076,               0.001076,               0.001076
                      9,                 1.5327,                 2.7347,                 1.2912,                 1.8201,                0.85534,                0.67287,                0.74274,                0.41815,                0.85229,                0.66753,                0.71202,                0.34969,                   1.51,                 2.4628,                 1.1225,                 2.0408,               0.000944,               0.000944,               0.000944
                     10,                 1.5207,                 2.6722,                 1.2487,                 1.8039,                0.86973,                0.69681,                 0.7738,                0.43932,                0.85642,                0.68484,                0.74322,                0.37036,                 1.5017,                 2.8225,                 1.0116,                 2.0165,               0.000812,               0.000812,               0.000812
                     11,                 1.4982,                 2.6272,                 1.1877,                 1.7781,                0.89155,                0.70745,                0.78354,                0.44995,                0.89718,                0.69149,                0.75318,                0.36602,                  1.492,                 2.5269,                 0.9604,                 1.9984,                0.00068,                0.00068,                0.00068
                     12,                 1.4627,                 2.5574,                 1.1395,                 1.7511,                0.86628,                0.69149,                0.76811,                0.44107,                0.87066,                0.68031,                0.74271,                0.37566,                 1.4882,                 2.4367,                0.96921,                 2.0134,               0.000548,               0.000548,               0.000548
                     13,                 1.4362,                 2.5201,                 1.1101,                 1.7275,                0.89025,                0.72269,                0.80861,                0.47125,                0.87497,                0.70729,                0.76815,                0.38749,                 1.4383,                 2.3765,                  0.893,                  1.953,               0.000416,               0.000416,               0.000416
                     14,                 1.4014,                 2.4846,                 1.0638,                 1.7055,                0.91463,                0.71011,                0.81106,                0.48894,                0.91113,                0.70213,                0.78037,                0.40277,                 1.3957,                 2.3066,                0.87135,                 1.9169,               0.000284,               0.000284,               0.000284
                     15,                 1.3718,                 2.4322,                 1.0329,                 1.6839,                0.93574,                 0.7234,                0.81363,                0.48651,                0.93084,                0.71589,                0.78759,                0.40442,                 1.4163,                 2.3569,                0.84253,                 1.9354,               0.000152,               0.000152,               0.000152
